shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
110N0004,-16.788431,145.676206,140030
110N0004,-16.789077,145.676681,140031
110N0004,-16.790473,145.677475,140032
110N0004,-16.790772,145.677611,140033
110N0004,-16.791439,145.678288,140034
110N0004,-16.792215,145.678795,140035
110N0004,-16.792215,145.678838,140036
110N0004,-16.792237,145.678943,140037
110N0004,-16.792278,145.679041,140038
110N0004,-16.792339,145.679129,140039
110N0004,-16.792386,145.679173,140040
110N0004,-16.791033,145.680939,140041
110N0004,-16.791019,145.680930,140042
110N0004,-16.790997,145.680922,140043
110N0004,-16.790974,145.680920,140044
110N0004,-16.790951,145.680922,140045
110N0004,-16.790929,145.680930,140046
110N0004,-16.790909,145.680942,140047
110N0004,-16.790894,145.680955,140048
110N0004,-16.790630,145.680731,140049
110N0004,-16.790630,145.680731,150001
110N0004,-16.790301,145.680452,150002
110N0004,-16.789494,145.679782,150003
110N0004,-16.789330,145.679641,150004
110N0004,-16.789101,145.679507,150005
110N0004,-16.788335,145.679320,150006
110N0004,-16.788071,145.679228,150007
110N0004,-16.787879,145.679126,150008
110N0004,-16.786882,145.678247,150009
110N0004,-16.786760,145.678194,150010
110N0004,-16.786647,145.678181,150011
110N0004,-16.786465,145.678171,150012
110N0004,-16.785883,145.678155,150013
110N0004,-16.785774,145.678148,150014
110N0004,-16.785686,145.678106,150015
110N0004,-16.785434,145.677914,150016
110N0004,-16.784875,145.678626,150017
110N0004,-16.784705,145.678837,150018
110N0004,-16.784705,145.678837,160001
110N0004,-16.784313,145.679329,160002
110N0004,-16.783852,145.679915,160003
110N0004,-16.783731,145.680408,160004
110N0004,-16.783699,145.680802,160005
110N0004,-16.783637,145.681556,160006
110N0004,-16.783599,145.681806,160007
110N0004,-16.783530,145.682311,160008
110N0004,-16.783173,145.682741,160009
110N0004,-16.783173,145.682741,170001
110N0004,-16.783040,145.682901,170002
110N0004,-16.782512,145.683577,170003
110N0004,-16.782110,145.684118,170004
110N0004,-16.781882,145.684376,170005
110N0004,-16.781816,145.684537,170006
110N0004,-16.781794,145.684714,170007
110N0004,-16.781794,145.684999,170008
110N0004,-16.780971,145.684914,170009
110N0004,-16.780889,145.684835,170010
110N0004,-16.780233,145.683779,170011
110N0004,-16.779417,145.682942,170012
110N0004,-16.779234,145.683100,170013
110N0004,-16.779132,145.683205,170014
110N0004,-16.779132,145.683205,180001
110N0004,-16.778493,145.683858,180002
110N0004,-16.779052,145.684487,180003
110N0004,-16.779677,145.685373,180004
110N0004,-16.780331,145.686521,180005
110N0004,-16.780995,145.687930,180006
110N0004,-16.781477,145.688373,180007
110N0004,-16.782227,145.688970,180008
110N0004,-16.783565,145.690121,180009
110N0004,-16.783655,145.690166,180010
110N0004,-16.783650,145.690175,180011
110N0004,-16.783647,145.690198,180012
110N0004,-16.783647,145.690220,180013
110N0004,-16.783651,145.690243,180014
110N0004,-16.783660,145.690264,180015
110N0004,-16.783673,145.690282,180016
110N0004,-16.783691,145.690299,180017
110N0004,-16.783708,145.690309,180018
110N0004,-16.783729,145.690316,180019
110N0004,-16.783751,145.690318,180020
110N0004,-16.783773,145.690316,180021
110N0004,-16.783794,145.690309,180022
110N0004,-16.783813,145.690298,180023
110N0004,-16.783829,145.690282,180024
110N0004,-16.783842,145.690264,180025
110N0004,-16.783850,145.690246,180026
110N0004,-16.783855,145.690220,180027
110N0004,-16.783855,145.690198,180028
110N0004,-16.783851,145.690175,180029
110N0004,-16.783842,145.690154,180030
110N0004,-16.783829,145.690136,180031
110N0004,-16.783818,145.690125,180032
110N0004,-16.784377,145.689414,180033
110N0004,-16.784377,145.689414,190001
110N0004,-16.784600,145.689131,190002
110N0004,-16.785081,145.688520,190003
110N0004,-16.785397,145.688107,190004
110N0004,-16.786466,145.686750,190005
110N0004,-16.787369,145.685600,190006
110N0004,-16.787393,145.685616,190007
110N0004,-16.787420,145.685627,190008
110N0004,-16.787450,145.685631,190009
110N0004,-16.787478,145.685630,190010
110N0004,-16.787508,145.685620,190011
110N0004,-16.787531,145.685607,190012
110N0004,-16.787551,145.685589,190013
110N0004,-16.787565,145.685573,190014
110N0004,-16.787578,145.685549,190015
110N0004,-16.787585,145.685527,190016
110N0004,-16.787589,145.685504,190017
110N0004,-16.787590,145.685484,190018
110N0004,-16.787586,145.685460,190019
110N0004,-16.787580,145.685438,190020
110N0004,-16.787568,145.685415,190021
110N0004,-16.787555,145.685397,190022
110N0004,-16.787540,145.685382,190023
110N0004,-16.787713,145.685164,190024
110N0004,-16.787713,145.685164,200001
110N0004,-16.788609,145.684031,200002
110N0004,-16.789705,145.682640,200003
110N0004,-16.790288,145.681894,200004
110N0004,-16.790288,145.681894,210001
110N0004,-16.790894,145.681117,210002
110N0004,-16.790909,145.681130,210003
110N0004,-16.790929,145.681142,210004
110N0004,-16.790951,145.681150,210005
110N0004,-16.790974,145.681152,210006
110N0004,-16.790997,145.681151,210007
110N0004,-16.791019,145.681142,210008
110N0004,-16.791039,145.681130,210009
110N0004,-16.791057,145.681114,210010
110N0004,-16.791060,145.681109,210011
110N0004,-16.791070,145.681094,210012
110N0004,-16.791080,145.681072,210013
110N0004,-16.791085,145.681048,210014
110N0004,-16.791085,145.681024,210015
110N0004,-16.791080,145.681000,210016
110N0004,-16.791070,145.680978,210017
110N0004,-16.791057,145.680958,210018
110N0004,-16.791039,145.680942,210019
110N0004,-16.791033,145.680939,210020
110N0004,-16.792386,145.679173,210021
